titulo,predicao_lexicon,predicao_finbert,predicao_zeroshot,ensemble_maioria,ensemble_lex_priority,ensemble_fin_priority,rotulo_manual
"PMI dos Estados Unidos medido pelo ISM cai a 56,7 em junho",positivo,negativo,neutro,positivo,positivo,negativo,neutro
"Índice de confiança do consumidor nos EUA sobe a 91,2 em junho",negativo,positivo,neutro,negativo,negativo,positivo,negativo
"Abertura de postos de trabalho nos EUA sobe a 7,594 mi em maio, acima do esperado",neutro,positivo,neutro,neutro,neutro,positivo,positivo
"Setor público tem déficit de R$ 56,1 bi e dívida pública sobe mais que o esperado",positivo,negativo,neutro,positivo,positivo,negativo,negativo
"Dívida pública bruta do Brasil sobe mais que o esperado em maio, a 81,1% do PIB",negativo,negativo,neutro,negativo,negativo,negativo,negativo
ONS: Consumo de energia cai até 21% na partida do Brasil na Copa,negativo,negativo,neutro,negativo,negativo,negativo,neutro
Bradesco eleva PIB de 2026 e vê inflação e Selic maiores neste ano e em 2027,neutro,neutro,neutro,neutro,neutro,neutro,negativo
Senado adia votação de pauta-bomba da saúde com impacto de R$ 28 bilhões,neutro,negativo,neutro,neutro,neutro,negativo,positivo
Raphinha treina pela 1ª vez desde a lesão e aumenta otimismo para voltar na Copa,negativo,neutro,neutro,neutro,negativo,neutro,neutro
ASSISTA AOS GOLS: Haaland marca e classifica Noruega para enfrentar o Brasil na Copa,positivo,neutro,positivo,positivo,positivo,neutro,neutro
Os bairros com maior índice de roubos e furtos de carros de São Paulo; veja lista,positivo,negativo,neutro,positivo,positivo,negativo,neutro
Canetas emagrecedoras com preços reduzidos da Eurofarma chegam às farmácias,negativo,negativo,neutro,negativo,negativo,negativo,neutro
1ª Turma do STF mantém decisão que proíbe aposentadoria compulsória como punição,neutro,negativo,negativo,negativo,neutro,negativo,neutro
Governo estuda recorrer ao STF se pauta-bomba avançar no Senado,positivo,negativo,neutro,positivo,positivo,negativo,negativo
Mundo ganhou quase 1 milhão de novos milionários em 2025: o que explica?,positivo,positivo,positivo,positivo,positivo,positivo,positivo
